id,sentence,gold_label
1,서울은 한국의 수도이다.,정문
2,철수가 어제 영희에게 준 것은 책이야.,정문
3,황진이는 서화담이 사귀었던 기생이다.,정문
4,빈번히 일어나는 유괴 사건이 우리를 슬프게 한다.,정문
5,영이가 예쁘지 않다.,정문
6,철수가 그 책을 읽기는 읽었다.,정문
7,철수가 영이를 만났다.,정문
8,철수가 영희에게 선물을 사주었다.,정문
9,나는 철수에게 선물을 안 사주었다.,정문
10,박선생님께서 영희를 만나시기는 만나셨다.,정문
11,적군이 서울을 파괴했다.,정문
12,존이 메리를 좋아한다.,정문
13,내가 가노라,정문
14,"철수가 수학을 연구했다, 그리고 존이 언어학을 공부했다.",정문
15,존이 자기의 큰 아들과 산다.,정문
16,존이 침대에서 잔다,정문
17,존이 한국어 사전을 사고 메리가 영어 사전을 샀다.,정문
18,존이 밥 먹었다.,정문
19,존은 메리가 철수를 안다고 믿는다.,정문
20,존은 메리가 철수를 만났다고 믿는다.,정문
21,존은 저녁을 먹고 잤다.,정문
22,철수가 영이를 만나기는 만났다.,정문
23,철수는 영희에게 떠나라고 명령하였다.,정문
24,철수가 밥을 안 먹었기는 안 먹었다.,정문
25,철수가 밥을 안 먹기는 하였다.,정문
26,철수가 밥을 먹었기는 먹었다.,정문
27,정부가 담배를 수입을 했다.,정문
28,철수가 영이를 만났기는 만났다.,정문
29,그 학생은 어떻게 공부했을 때에 점수가 제일 좋았습니까?,정문
30,영희가 건강하다.,정문
31,사람들이 뛰었다.,정문
32,철수가 영화를 보고 숙제를 했다.,정문
33,민수가 이 동아리의 회장이다.,정문
34,배신당한 기분이다.,정문
35,배신당한 기분이다.,정문
36,철수가 메리의 누이를 그리고 빌이 영희의 누이를 좋아한다.,정문
37,학생 한 명이 예쁘다.,정문
38,그 책을 언니가 읽는다.,정문
39,그 산이 보이기는 보인다.,정문
40,그 책을 언니가 읽는다.,정문
41,아무도 영희를 좋아하지 않는다.,정문
42,철수는 오늘 물 한 잔도 안 마셨다.,정문
43,철수도 영희를 좋아한다.,정문
44,한 사람도 그 통사론 문제를 이해할 수 없었다.,정문
45,철수가 영희에게 반지를 주었다.,정문
46,존이 메리에게도 전화를 했다.,정문
47,철수가 영희밖에 만나지 아니했다.,정문
48,철수가 누구에게 편지하였냐?,정문
49,누구가 이겼냐가 중요하다,정문
50,영희가 침착하다.,정문
51,존을 어떻게 여긴다고?,정문
52,적이 도시를 철저하게 파괴하였다.,정문
53,이 분이 내가 좋아하는 교수님이야.,정문
54,적이 도시를 파괴하였다.,정문
55,메리가 존을 쫓아냈다.,정문
56,피터는 교실에서 공부한다.,정문
57,존은 메리가 무엇을 샀는지 몰랐다.,정문
58,영희가 누군가에게 그 책을 주었는데 누구인지 모르겠다.,정문
59,김 선생이 그 남자가 기다리던 소녀에요.,정문
60,모두가 벙어리인 듯 침묵했어요.,정문
61,나는 그의 제안에 찬성이다.,정문
62,철수가 그 일을 반대하였다.,정문
63,나는 철수가 작년에 만든 획기적인 작품을 특별히 좋아해.,정문
64,철수는 영희를 수학을 못한다고 생각하였다.,정문
65,저것이 좋다.,정문
66,철수가 영희를 어제 만났다.,정문
67,철수가 영희가 행복하다고 생각한다.,정문
68,그 일이 참 힘들기는 힘들겠다.,정문
69,영미가 공부를 잘 하기는 한다.,정문
70,한 시간 안에 존이 편지를 썼다.,정문
71,철수가 선물을 받은 것은 어떤 여자로부터다.,정문
72,존이 메리를 만나기는 했다.,정문
73,의사가 영희에게 단식할 것을 명령했다.,정문
74,철수만이 메리를 사랑했다.,정문
75,강남이 집값이 비싸다.,정문
76,철수는 영희를 세 번을 때렸다.,정문
77,철수가 존을 네 번을 때렸다.,정문
78,철수가 동수를 십 초를 때렸다.,정문
79,메리가 아주 예쁘기는 하다.,정문
80,책을 철수가 샀다.,정문
81,철수가 영희를 애인으로 간주했다.,정문
82,나는 누구가 왔나 안다.,정문
83,철수에게 돈이 있다.,정문
84,누구나 책을 샀다.,정문
85,김 선생님이 오셨다.,정문
86,요즘은 아무나 대학에 간다.,정문
87,아버님께서 메리를 만나셨는가 보다.,정문
88,아버님은 메리를 걱정시키셨다.,정문
89,언어학을 존은 좋아한다.,정문
90,메리가 존을 서울에서도 만났어.,정문
91,메리가 그림을 크레용으로도 그렸다.,정문
92,영희가 사랑하는 것은 철수이다.,정문
93,그는 아이들이 돌아왔음을 알았다.,정문
94,꽃은 장미가 예쁘다.,정문
95,영희가 머리가 길다.,정문
96,영희는 창문을 닦는다.,정문
97,가시가 목에 걸렸다.,정문
98,손님이 의자에 앉는다.,정문
99,아이가 마당에서 논다.,정문
100,철수가 집에서 놀고 있다.,정문
101,영희만이 시험을 합격했다.,정문
102,이 옷이 선생님에게 어울린다.,정문
103,철수가 의사가 되었다.,정문
104,도둑이 잡히었다.,정문
105,영희가 옷을 축축하게 젖게 했다.,정문
106,존은 고기를 까맣게 태웠다.,정문
107,철수가 책상 다리를 고쳤다.,정문
108,상이 위원회에 의해 철수에게 주어졌다.,정문
109,존은 누구를 후배로 생각한다.,정문
110,위원회가 철수에게 상금을 보냈다.,정문
111,위원회가 장학금을 우수 학생들에게 주었다.,정문
112,존은 논문을 열심히 읽었다.,정문
113,학생들이 맥주를 세 병 마셨다.,정문
114,체신머리 없게 왜 그런 행동을 하니?,정문
115,존은 얌전하다.,정문
116,태풍이 그 건물을 파괴했다.,정문
117,메리가 맥주를 마실 수 있다.,정문
118,메리가 맥주를 마실 수 있다.,정문
119,메리가 나가자 존도 나갔다.,정문
120,영희가 그 쪽으로 걸어가더라.,정문
121,김 교수가 천재인 것이 분명하다.,정문
122,존이 그 논문을 읽지 않은 것이 분명해 보였다.,정문
123,존이 그 파티에 간 것이 확실해 보였다.,정문
124,존이 메리를 사랑하는 것 같다.,정문
125,아무도 존을 만나지 않은 것 같다.,정문
126,그 남자가 집에 오면 손 끝도 까딱하지 않는다.,정문
127,영희는 노래도 공부도 잘 한다.,정문
128,영희가 예뻤다.,정문
129,그 어떤 사람도 철수를 알지 못 해.,정문
130,무슨 책이 요즘 잘 팔리니?,정문
131,어느 책이 요즘 잘 팔리니?,정문
132,어떤 책이 요즘 잘 팔리니?,정문
133,메리는 노래와 공부를 잘한다.,정문
134,저 사람이 사장이다.,정문
135,동생보다 더 부자이다.,정문
136,메리는 노래와 공부를 다 잘 한다.,정문
137,영희가 달려 갔다.,정문
138,아무나 왔다.,정문
139,철수가 빵을 훔쳐 먹었고 영희도 훔쳐 먹었다.,정문
140,그 논문은 철수가 쓴 것 보다 더 길다.,정문
141,나는 철수가 쓴 것보다 더 긴 논문을 썼다.,정문
142,그 청년은 성실하게 살아 왔다.,정문
143,그 담은 두꺼워지고 있었다.,정문
144,메리는 영희가 잠을 자게 두었다.,정문
145,메리는 영희가 잠을 자도록 두었다.,정문
146,존이 사과를 세 개를 먹었다.,정문
147,나는 철수가 영희를 만났기를 바란다.,정문
148,나는 철수가 영희를 만났음을 안다.,정문
149,나는 집도 절도 없다.,정문
150,"철수가 어제 보고서를 제출했다고 하던데, 나는 그것이 얼마나 훌륭한지 모르겠다.",정문
151,내가 저녁을 사겠다.,정문
152,내가 만든 것은 이것도 저것도 아니다.,정문
153,큰 호수가 우리 집 바로 뒤에 있다.,정문
154,나는 철수를 영희가 좋아한다고 생각한다.,정문
155,그는 아이들이 뛰어가는 것을 보았다.,정문
156,철수가 나보고 그 일을 하라고 말했다.,정문
157,책상 위에 고양이가 있다.,정문
158,우리 집 바로 뒤에 큰 호수가 있다.,정문
159,나는 나의 고향 제주도를 잊어본 적이 없어.,정문
160,박선생님께서 영이를 만나기는 만나셨다.,정문
161,서울은 한국의 수도뿐이다.,비문
162,철수가 어제 준 것은 영희에게 책이야.,비문
163,황진이는 서화담이 사귀었던 기생만이다.,비문
164,빈번히 일어나는 유괴 사건이 우리를 슬펐게 한다.,비문
165,영이가 예쁘지 않고 있다.,비문
166,철수가 그 책을 읽지는 안 읽었다.,비문
167,철수가 영이가 만났다.,비문
168,철수가 영희에게 선물을 샀주었다.,비문
169,나는 철수에게 선물을 사 안 주었다.,비문
170,박선생님께서 영희를 만나셨기는 만나다.,비문
171,적군이 서울을 파괴 1950년에 했다.,비문
172,존이 메리가 좋아한다.,비문
173,네가 가노라,비문
174,철수가 수학을 연구했다와 민호가 언어학을 공부했다.,비문
175,존이 큰 자기의 아들과 산다.,비문
176,존이 침대 잔다,비문
177,존이 한국어를 사고 메리가 영어 사전을 샀다.,비문
178,존이 스테이크를 밥 먹었다.,비문
179,존은 메리를 철수를 안다고 믿는다.,비문
180,존은 메리를 철수를 만났다고 믿는다.,비문
181,존은 저녁을 먹었고 잤다.,비문
182,철수가 영이를 만나기는 철수가 영이를 만났다.,비문
183,철수는 영희에게 떠나고라 명령하였다.,비문
184,철수가 밥을 안 먹었기는 안 했다.,비문
185,철수가 밥을 안 먹기는 안 하였다.,비문
186,철수가 밥을 먹었기는 먹다.,비문
187,정부가 담배를 수입었을 했다.,비문
188,철수가 영이를 만났기는 만나다.,비문
189,그 학생은 왜 공부했을 때에 점수가 제일 좋았습니까?,비문
190,영희가 건강한다.,비문
191,사람들이 뛰어지었다.,비문
192,철수가 영화를 보고기는 보고 숙제를 했다.,비문
193,민수가 이 동아리의 그 회장이다.,비문
194,배신당한 그 기분이다.,비문
195,배신당한 이 기분이다.,비문
196,철수 메리의 누이를 그리고 빌이 영희의 누이를 좋아한다.,비문
197,학생 한 명 예쁘다.,비문
198,그 책을 언니가 그것을 읽는다.,비문
199,그 산이 보이기는 본다.,비문
200,그 책 언니가 읽는다.,비문
201,아무 영희를 좋아하지 않는다.,비문
202,철수는 오늘 물 한 잔도 마셨다.,비문
203,철수도가 영희를 좋아한다.,비문
204,한 사람도 그 통사론 문제를 이해할 수 있었다.,비문
205,철수가 영희에게 반지를는 주었다.,비문
206,존이 메리도 전화를 했다.,비문
207,철수가 영희를밖에 만나지 아니했다.,비문
208,철수가 누구 편지하였냐?,비문
209,누구가 이겼냐고 중요하다,비문
210,영희가 침착한다.,비문
211,존을 무엇을 여긴다고?,비문
212,적이 도시를 철저한 파괴하였다.,비문
213,이것이 내가 좋아하는 교수님이야.,비문
214,적이 도시의 파괴하였다.,비문
215,메리가 존을 쫓아서 냈다.,비문
216,피터는 교실 공부한다.,비문
217,존은 메리가 무엇을 샀고 몰랐다.,비문
218,영희가 동생에게 그 책을 주었는데 누구인지 모르겠다.,비문
219,김 선생이 그 남자가 기다리던요 소녀에요.,비문
220,모두가 벙어리인 듯요 침묵했어요.,비문
221,나는 그의 제안을 찬성이다.,비문
222,철수가 그 일에의 반대하였다.,비문
223,나는 획기적인 철수가 작년에 만든 작품을 특별히 좋아해.,비문
224,철수는 수학을 영희를 못한다고 생각하였다.,비문
225,것이 좋다.,비문
226,철수가 영희를 어제가 만났다.,비문
227,철수가 영희가를 행복하다고 생각한다.,비문
228,그 일이 힘들겠기는 힘들겠다.,비문
229,영미가 공부를 잘 한기는 한다.,비문
230,한 시간 안에 존이 편지썼다.,비문
231,철수가 선물을 받은 것은 어떤 여자다.,비문
232,존이 메리를 만났기는 하다.,비문
233,의사가 영희에게 단식함을 명령했다.,비문
234,철수가만 메리를 사랑했다.,비문
235,강남이 저 집값이 비싸다.,비문
236,철수는 영희를 세 번이 때렸다.,비문
237,철수가 존을 네 번이 때렸다.,비문
238,철수가 동수를 십 초이 때렸다.,비문
239,메리가 예쁘기는 아주 하다.,비문
240,책을 철수 샀다.,비문
241,철수가 영희 애인으로 간주했다.,비문
242,나는 누구가 왔도 안다.,비문
243,철수 돈이 있다.,비문
244,누구나는 책을 샀다.,비문
245,아이가 오셨다.,비문
246,요즘은 아무 대학에 간다.,비문
247,아버님께서 메리를 만나셨는가 보시다.,비문
248,아버님은 메리가 걱정하시키셨다.,비문
249,언어학 존은 좋아한다.,비문
250,메리가 존을 서울도 만났어.,비문
251,메리가 그림을 크레용도 그렸다.,비문
252,영희가 사랑하는 것은 철수를이다.,비문
253,그는 아이들이 돌아왔음들을 알았다.,비문
254,꽃의 장미가 예쁘다.,비문
255,영희가 그 머리가 길다.,비문
256,영희는 어제 창문을 닦는다.,비문
257,가시가 목에를 걸렸다.,비문
258,손님이 의자 앉는다.,비문
259,아이가 마당 논다.,비문
260,철수가 집이 놀고 있다.,비문
261,영희가만 시험을 합격했다.,비문
262,이 옷이 선생님에게 어울리신다,비문
263,의사가 철수가 되었다.,비문
264,도둑을 잡히었다.,비문
265,영희가 옷을 깨끗하게 젖게 했다.,비문
266,존은 고기를 까매지게 태웠다.,비문
267,철수가 책상을 다리 고쳤다.,비문
268,상이 위원회에 의해 철수를 주어졌다.,비문
269,존이 누구가 후배로 생각한다.,비문
270,위원회가 철수를 상금을 보냈다.,비문
271,위원회가 장학금을 우수 학생들을 주었다.,비문
272,존은 논문을 열심히들 읽었다.,비문
273,학생들이 맥주를 세 명 마셨다.,비문
274,체신머리 있게 왜 그런 행동을 하지 아니 하니?,비문
275,존은 얌전한다.,비문
276,태풍이 그 건물을 파괴를 했다.,비문
277,메리에게 맥주를 마실 수 있다.,비문
278,메리가 맥주를 마실 수 많다.,비문
279,메리가 나갔자 존도 나갔다.,비문
280,내가 그 쪽으로 걸어가더라.,비문
281,김 교수가 천재인 것이 같았다.,비문
282,존이 그 논문을 읽지 않은 것 분명해 보였다.,비문
283,존이 그 파티에 간 것 확실해 보였다.,비문
284,존이 메리를 사랑하는 것 실제로 같다.,비문
285,아무도 존을 만난 것 같다.,비문
286,그 남자가 집에 오면 손 끝도 까딱한다.,비문
287,영희는 노래도 공부도 아무것도 잘 한다.,비문
288,영희가 예쁜다.,비문
289,어떤 그 사람도 철수를 알지 못 해.,비문
290,무슨 그 책이 요즘 잘 팔리니?,비문
291,그 어느 책이 요즘 잘 팔리니?,비문
292,어떤 그 책이 요즘 잘 팔리니?,비문
293,메리는 노래와 공부를 아무것도 잘한다.,비문
294,저 것이 사장이다.,비문
295,동생보다 더 학생이다.,비문
296,메리는 노래와 공부를 아무것도 잘 한다.,비문
297,영희가 순희가 달려 갔다.,비문
298,아무가 왔다.,비문
299,철수가 훔쳐 먹었고 영희도 빵을 훔쳐 먹었다.,비문
300,그 논문은 철수가 쓴 보다 더 길다.,비문
301,나는 철수가 쓴 보다 더 긴 논문을 썼다.,비문
302,그 청년은 성실하도록 살아 왔다.,비문
303,그 담은 두껍고 있었다.,비문
304,메리는 영희가 잠을 잤게 두었다.,비문
305,메리는 영희가 잠을 잤도록 두었다.,비문
306,존이 사과를 배를 먹었다.,비문
307,나는 철수가 영희를 만났기음을 바란다.,비문
308,나는 철수가 영희를 만났음기를 안다.,비문
309,나는 집을 절을 없다.,비문
310,"철수가 어제 보고서를 제출했다고 하던데, 나는 그것이 얼마나 훌륭하인지 모르겠다.",비문
311,내가 저녁을 샀겠다.,비문
312,내가 만든 것은 이것이나 저것이나 아니다.,비문
313,큰 호수가 우리 집 뒤 바로에 있다.,비문
314,나는 좋아한다고 영희가 철수를 생각한다.,비문
315,그는 아이들이 뛰어가는 사실을 보았다.,비문
316,철수가 보고 나 그 일을 하라고 말했다.,비문
317,책상에서 위에 고양이가 있다.,비문
318,우리 집에서 바로 뒤에 큰 호수가 있다.,비문
319,나는 제주도 나의 고향을 잊어본 적이 없어.,비문
320,박선생님께서 영이를 만나기는 만나시기는 만나셨다.,비문
